"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
530401,"VINYOFLEX LT","T ","Q",5.34,5.34,5.34,5.34,5.34,5.09,3,6500,34710,,"17-02-2014"
530405,"JINDAL CAP. ","B ","Q",6.09,6.09,6.09,6.09,6.09,5.8,1,10,60,,"17-02-2014"
530407,"EPIC ENERGY ","T ","Q",9.19,9.19,9.19,9.19,9.19,8.97,1,1,9,,"17-02-2014"
530419,"SUMEDHA FISC","B ","Q",9.21,9.21,9.2,9.2,9.2,9.66,12,160,1472,,"17-02-2014"
530421,"KUWER INDS. ","T ","Q",16.2,16.2,14.66,14.7,14.66,15.43,3,202,2972,,"17-02-2014"
530427,"CHOKSI IMAG ","B ","Q",9.6,10.4,9.6,10.4,10.4,10.1,15,2301,22845,,"17-02-2014"
530431,"ADOR FONTECH","B ","Q",59.75,60.5,59.5,60.45,60.45,59.25,44,1790,107868,,"17-02-2014"
530439,"SIDDHA VEN  ","T ","Q",0.9,0.9,0.9,0.9,0.9,0.86,1,5,4,,"17-02-2014"
530441,"MAHANIVESH I","T ","Q",132.3,132.3,132.3,132.3,132.3,134.95,34,42927,5679242,,"17-02-2014"
530443,"KIRAN SYNTEX","B ","Q",6.65,6.65,6.65,6.65,6.65,6.99,1,3000,19950,,"17-02-2014"
530445,"SUMERU IND  ","B ","Q",0.33,0.33,0.33,0.33,0.33,0.32,2,577,190,,"17-02-2014"
530449,"RUNGTA IRRIG","T ","Q",7.02,7.02,7.02,7.02,7.02,7.16,5,1605,11267,,"17-02-2014"
530459,"VALSON INDUS","B ","Q",12.42,12.42,12.42,12.42,12.42,13.07,1,2,24,,"17-02-2014"
530461,"SABOO SODIUM","B ","Q",7,7.24,6.56,7.22,7.22,6.9,45,478,3138,,"17-02-2014"
530477,"VIKRAM THERM","B ","Q",50.75,50.75,48,49.2,49.15,52.55,18,546,27334,,"17-02-2014"
530479,"ATLINFRA    ","T ","Q",70.25,70.4,70,70.2,70.4,70.15,55,16399,1152284,,"17-02-2014"
530497,"MARVEL CAPIT","T ","Q",18.7,18.7,17.65,18.55,18.5,18.5,744,85662,1556584,,"17-02-2014"
530499,"A.K.CAPITAL ","B ","Q",122,133,120.45,132,132,121.3,171,3996,506328,,"17-02-2014"
530505,"UPPER GANGES","B ","Q",23.4,23.4,23.4,23.4,23.4,24.6,4,31,725,,"17-02-2014"
530513,"ACCURATE TRA","B ","Q",25.35,25.35,25.35,25.35,25.35,26.65,6,339,8593,,"17-02-2014"
530517,"RELAXO FOOT.","B ","Q",267.3,268.8,259.9,265.4,263.05,263.85,80,559,147892,,"17-02-2014"
530521,"VIRAT INDUS.","B ","Q",34,34,33.45,33.55,34,35,10,423,14375,,"17-02-2014"
530533,"TERAI TEA CO","B ","Q",76.75,76.75,69.55,76.55,76.55,73.2,8,53,3757,,"17-02-2014"
530543,"MARG LTD    ","B ","Q",7.8,8.2,7.8,8.01,7.91,8.04,56,4705,37819,,"17-02-2014"
530545,"COSCO INDIA ","T ","Q",52.55,52.55,52.55,52.55,52.55,50.1,1,1,52,,"17-02-2014"
530547,"KEN FIN.SER.","T ","Q",7.81,7.81,7.81,7.81,7.81,7.44,1,10,78,,"17-02-2014"
530549,"SHILPA MEDIC","B ","Q",337,356.7,334,351.4,351.4,340.65,917,8959,3134818,,"17-02-2014"
530555,"PARAMOUNT CO","T ","Q",1.57,1.57,1.57,1.57,1.57,1.5,16,3905,6130,,"17-02-2014"
530557,"NCL RESEARCH","T ","Q",650,650,625,625,625,649,147,12725,8140721,,"17-02-2014"
530579,"GOLDEN GOEN ","B ","Q",9.3,9.3,8.3,8.3,8.3,9,2,2,17,,"17-02-2014"
530589,"PRIMA PLASTI","B ","Q",12.71,12.71,12.51,12.51,12.51,12.11,11,1346,16938,,"17-02-2014"
