SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532934,PRECISION   ,B ,Q,65.00,69.95,65.00,69.95,69.95,67.90,18,626,41665.00,
532935,ARIES AGRO  ,B ,Q,87.00,87.85,84.15,84.55,84.30,86.65,403,8967,768401.00,
532937,KUANTUM     ,B ,Q,69.30,73.60,69.30,70.00,70.00,72.65,93,9679,694736.00,
532938,CAPF        ,B ,Q,234.90,241.70,230.10,234.50,234.50,232.50,4278,103047,24384022.00,
532939,RPOWER      ,A ,Q,93.00,94.65,91.50,94.00,94.00,90.85,18905,1857264,173107965.00,
532940,J KUMAR INFR,B ,Q,330.00,330.00,305.05,313.05,313.05,331.35,1603,112860,36184140.00,
532942,KNR CONST   ,T ,Q,249.00,249.00,237.40,237.40,237.40,249.85,60,856,206512.00,
532944,ONMOBILE    ,B ,Q,34.55,35.65,33.80,35.20,35.20,34.65,2043,310805,10837685.00,
532945,SHRIRAM EPC ,B ,Q,31.25,31.65,31.25,31.65,31.65,31.65,14,699,21883.00,
532946,BANG        ,B ,Q,11.95,12.80,11.95,12.80,12.80,12.50,6,60,759.00,
532947,IRB INFRA   ,A ,Q,249.50,250.65,231.60,235.75,235.75,249.55,19570,836016,200246546.00,
532948,TULSI EXTRU ,B ,Q,5.90,5.90,5.86,5.86,5.86,6.16,23,3074,18025.00,
532950,MANJUSHRE   ,B ,Q,345.00,400.85,342.05,364.25,364.25,339.65,1250,13617,4973452.00,
532951,GSS INFOTECH,B ,Q,37.00,41.00,36.50,37.55,37.55,36.80,347,426919,17321881.00,
532952,NAHAR CAP   ,B ,Q,78.55,80.00,77.35,79.25,79.25,79.90,54,2084,164410.00,
532953,V GUARD IND ,B ,Q,743.00,750.00,720.05,725.15,725.15,738.70,931,6675,4899120.00,
532955,RECLTD      ,A ,Q,306.50,312.00,297.10,300.85,300.85,306.35,6415,194230,58765500.00,
532957,GOKAK TEXTI ,T ,Q,57.10,60.00,57.05,60.00,60.00,60.00,12,124,7078.00,
