"SC_CODE","SC_NAME","SC_GROUP","SC_TYPE","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","NO_TRADES","NO_OF_SHRS","NET_TURNOV","TDCLOINDI","DATE"
535204,"PEARL AGRI  ","B ","Q",285.1,300,285.1,300,300,300,11,560,167255,,"14-02-2014"
535205,"PEARL ELEC  ","B ","Q",300,300,300,300,300,289,54,1931,579300,,"14-02-2014"
535217,"HPC BIO     ","M ","Q",264.6,264.6,264.6,264.6,264.6,252,1,1200,317520,,"14-02-2014"
535267,"COM FINCAP  ","B ","Q",270.5,271.15,267.95,268,268,270.25,270,111090,29971195,,"14-02-2014"
535322,"REPCO HOME  ","B ","Q",310,312.6,310,310.1,310,311,57,823,255715,,"14-02-2014"
535458,"NRB IND BEA ","B ","Q",4.71,4.75,4.7,4.75,4.75,4.7,3,73,344,,"14-02-2014"
535466,"SRL         ","M ","Q",40,40,40,40,40,39.8,1,4000,160000,,"14-02-2014"
535467,"AIFL        ","M ","Q",116.25,120.25,116,120.1,120.25,116.9,24,38400,4491360,,"14-02-2014"
535486,"DELTALTD    ","B ","Q",65,65,65,65,65,65,12,1000,65000,,"14-02-2014"
535503,"ROSELABS LTD","B ","Q",16.5,17.85,16.25,17.5,17.85,17,25,70,1227,,"14-02-2014"
535601,"SREELEATHER ","B ","Q",305,305,297,300,300,296,57,10002,2985616,,"14-02-2014"
535602,"SHARDA MOTOR","T ","Q",294,294,275.1,289,289,280,23,244,69551,,"14-02-2014"
535620,"BINNY MILLS ","B ","Q",356,356,341.5,341.5,341.5,359.35,4,26,9174,,"14-02-2014"
535621,"SV GLOBAL   ","T ","Q",61.6,61.6,56,61.25,61.25,58.7,17,835,48039,,"14-02-2014"
535648,"JUSTDIAL    ","B ","Q",1464.7,1514,1462,1478.55,1478.55,1452.6,15066,168793,250849913,,"14-02-2014"
535657,"OONE        ","B ","Q",22.3,22.3,21.5,21.7,21.8,21.6,51,4207,91495,,"14-02-2014"
535658,"PAWANSUT    ","T ","Q",185.5,190,184,188.7,188.5,182.85,148,88185,16640610,,"14-02-2014"
535730,"KHOOBSURAT  ","T ","Q",134.95,140.45,134.95,140.45,140.45,137.7,37,1500,208612,,"14-02-2014"
535754,"ORIENT CEM  ","B ","Q",38.25,39,36.75,37.1,37.1,38.3,167,18434,692758,,"14-02-2014"
535755,"PANTALOONS  ","B ","Q",85,98.65,85,89.85,88.05,85.1,1090,39541,3656516,,"14-02-2014"
535789,"IBUL HSG FIN","B ","Q",193,194.5,189.5,190.75,190.75,192.35,772,24804,4767724,,"14-02-2014"
535916,"ALSL        ","M ","Q",6.75,6.75,6.45,6.45,6.45,7.05,2,16000,105600,,"14-02-2014"
535958,"INTEGRA GAR ","B ","Q",1.73,1.73,1.73,1.73,1.73,1.88,2,687,1188,,"14-02-2014"
536264,"TIGER LOGS  ","M ","Q",73.5,73.5,73.5,73.5,73.5,63,3,6000,441000,,"14-02-2014"
536493,"JKAGRI GEN  ","B ","Q",339,339,321,322.15,321,329.9,36,260,84673,,"14-02-2014"
536507,"FUTLIF FAS  ","B ","Q",64,68,63.5,64,64.2,64.4,1193,56450,3684737,,"14-02-2014"
536565,"TRIMURTHI DR","B ","Q",5.57,5.6,5.08,5.09,5.09,5.34,268,94301,504850,,"14-02-2014"
536659,"THIRINFRA   ","T ","Q",29.5,29.5,27.1,27.4,28.4,28.5,86,1955,54371,,"14-02-2014"
536666,"STAR FERRO  ","B ","Q",17,17,16.5,16.5,16.5,17.2,2,190,3185,,"14-02-2014"
