SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
514486,POLYGENTA TE,T ,Q,31.45,31.45,31.45,31.45,31.45,33.10,2,1,31.00,
515018,REG.CERAMIC ,T ,Q,4.86,4.86,4.40,4.40,4.86,4.63,9,406,1787.00,
515030,ASAHI IN.GLA,B ,Q,87.20,87.50,82.30,83.00,83.00,87.10,587,29107,2458464.00,
515037,MURD.CERAM  ,T ,Q,22.05,22.05,21.05,21.50,21.65,21.00,96,14784,321605.00,
515043,SAINT-GOBAIN,B ,Q,22.25,22.45,21.20,21.60,21.60,22.10,540,132935,2880592.00,
515055,ANANTRAJ    ,B ,Q,64.50,64.50,60.55,61.35,61.35,64.30,2712,179116,11091677.00,
515059,MADHUS.IND. ,B ,Q,11.57,11.57,11.57,11.57,11.57,11.02,6,1278,14786.00,
515081,SRIVAJRA GRA,T ,Q,6.00,6.00,6.00,6.00,6.00,6.12,2,100,600.00,
515085,RESTILE CER.,B ,Q,4.71,4.71,4.61,4.61,4.61,4.85,6,450,2094.00,
515093,MADHAV MARB.,T ,Q,30.55,31.25,29.95,30.00,30.00,31.50,63,14601,440736.00,
515127,RAMMAICA (I),T ,Q,7.80,8.13,7.37,7.38,7.37,7.75,29,16700,129485.00,
515145,HIND.NAT.GLS,B ,Q,150.00,157.90,145.00,147.00,147.00,147.00,66,2056,313438.00,
515147,HALDYN GLASS,B ,Q,16.50,16.70,16.35,16.55,16.60,16.60,104,19922,328885.00,
516007,MANGALAM TIM,T ,Q,12.50,12.50,11.66,11.66,11.66,12.00,12,1027,12308.00,
516020,AGIO PAPER  ,B ,Q,3.92,3.92,3.92,3.92,3.92,3.85,4,51,199.00,
516022,STAR PAPER  ,T ,Q,9.61,9.61,9.60,9.60,9.60,10.10,18,2961,28439.00,
516030,YASH PAPERS ,B ,Q,7.24,7.24,6.70,7.00,7.00,7.00,53,9140,62838.00,
516064,ARROW COATED,B ,Q,126.00,128.00,119.00,122.10,123.20,125.05,246,9602,1198342.00,
516072,VISHNU CHEM ,B ,Q,90.80,90.85,86.30,86.35,86.35,89.80,129,18062,1598630.00,
516078,JUMBO BAG   ,Z ,Q,4.94,4.96,4.94,4.94,4.94,5.20,18,4304,21287.00,
516082,N.R.AGARWAL ,B ,Q,23.10,25.20,23.10,25.15,25.20,24.00,28,1900,45615.00,
